age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
28,M,66.0,71,5627,2461,yoga,yoga
18,F,64.1,56,9921,2626,cycling,cycling
19,F,59.7,70,10026,2946,pilates,pilates
29,F,61.2,76,7335,2678,yoga,yoga
22,F,52.4,67,2796,2431,yoga,yoga
18,F,45.0,60,8291,2786,cycling,cycling
27,F,45.0,74,6052,2104,yoga,yoga
18,M,50.6,75,5692,2546,pilates,yoga
18,F,55.7,52,7233,2769,cardio,cycling
18,F,72.8,55,11069,3289,hiit,hiit
18,M,56.7,50,10335,2967,cardio,cardio
27,M,85.4,60,7878,2656,pilates,pilates
18,M,57.7,63,6221,2503,strength,strength
22,M,63.9,56,7621,2733,yoga,yoga
18,M,60.4,59,6809,2454,cardio,cycling
21,F,84.1,64,9113,2967,cycling,cycling
18,M,78.4,60,6335,2932,pilates,pilates
27,F,54.0,60,11115,2649,strength,strength
18,F,49.7,50,11033,2702,cycling,cardio
18,F,69.3,62,6699,2676,pilates,pilates
25,M,74.1,54,5366,2678,strength,strength
18,F,45.2,57,9929,3007,hiit,strength
18,M,81.2,60,8433,2900,cardio,cardio
27,F,52.5,56,5810,2253,pilates,pilates
18,M,84.0,56,3899,2942,strength,strength
18,F,62.7,55,14552,3006,cardio,cardio
18,M,65.7,62,7057,2918,strength,strength
18,F,71.0,58,12345,3481,cardio,cardio
24,F,80.2,57,7298,2833,cycling,cycling
18,F,70.0,52,10829,2924,strength,hiit
18,F,68.9,50,7652,2972,cardio,cycling
28,F,62.2,70,5746,2339,yoga,pilates
18,M,75.6,54,7848,3242,cycling,cycling
22,M,62.7,59,8271,2966,strength,strength
20,F,68.8,69,4646,2454,yoga,yoga
31,F,60.1,72,5112,2493,yoga,yoga
21,F,58.5,64,8215,2701,yoga,yoga
18,M,63.9,56,3964,2492,yoga,yoga
24,M,77.5,59,7509,2783,strength,strength
28,F,68.5,70,4572,2467,yoga,yoga
19,F,72.8,65,6259,2685,yoga,yoga
18,F,70.1,64,7488,2938,cycling,cycling
18,F,52.6,53,10841,3045,hiit,hiit
28,F,45.0,65,6004,1799,yoga,yoga
21,M,59.6,63,5858,2596,pilates,pilates
18,M,78.7,57,11381,3500,cardio,cycling
18,F,58.0,50,10379,2719,cardio,cardio
22,M,45.0,59,4928,2682,strength,strength
24,M,91.4,58,15000,3414,cardio,cardio
18,M,71.2,52,3367,2957,strength,strength
18,F,67.8,56,7558,3265,cycling,cycling
18,F,61.8,50,12336,3103,hiit,hiit
21,M,83.2,65,12701,3472,cycling,cardio
18,F,67.0,58,8701,3225,cardio,cycling
24,F,81.2,63,7191,2741,strength,strength
18,F,56.9,57,9606,3097,cycling,cycling
24,F,55.3,54,5746,2300,cycling,cycling
18,F,62.7,54,12259,3101,hiit,hiit
20,M,61.0,50,15000,3347,cardio,cardio
37,F,59.1,72,4516,2777,yoga,pilates
18,M,63.7,50,11183,3030,cardio,cardio
18,F,58.3,61,5349,2845,strength,strength
18,F,59.0,61,9404,2709,cardio,cardio
32,F,57.5,64,7277,2487,pilates,yoga
18,F,45.0,56,12859,2797,cycling,cardio
28,F,57.1,62,4773,2385,pilates,yoga
22,F,45.0,58,6149,2619,strength,strength
22,F,52.3,54,8386,2679,strength,strength
19,F,58.9,51,13787,2924,cardio,cardio
18,F,83.9,61,11263,3293,cardio,cardio
18,F,80.1,58,4563,2730,strength,strength
23,F,55.5,71,2954,2234,yoga,yoga
18,F,45.0,56,8824,2638,cardio,cardio
18,F,56.5,58,11651,2488,cycling,cardio
21,M,54.8,67,8375,3189,cycling,cycling
21,F,45.0,61,2860,2052,pilates,pilates
24,M,65.8,63,8942,2439,yoga,yoga
18,M,86.8,51,10197,3034,cardio,cardio
18,M,66.3,58,9262,2896,cardio,cardio
18,F,53.8,70,15000,2951,cardio,cardio
26,M,63.1,70,3273,2231,pilates,pilates
18,F,45.0,59,10156,2643,cycling,cardio
18,M,92.5,63,5993,3115,cycling,cycling
31,F,45.0,83,7138,2547,pilates,yoga
18,F,56.0,68,11270,3500,strength,hiit
20,F,45.0,64,11542,2645,cardio,cardio
43,M,82.5,68,8287,2949,yoga,yoga
18,M,75.0,61,7287,3179,yoga,yoga
18,M,62.7,56,13903,3340,cycling,cycling
18,M,72.1,59,12587,3143,cardio,cardio
18,M,70.3,68,5327,2687,cycling,cycling
21,M,71.3,59,4051,2943,cycling,cycling
