age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
51,F,60.0,72,6639,2636,hiit,strength
47,F,80.8,69,5203,3002,yoga,yoga
47,M,63.6,63,7104,2802,yoga,yoga
47,F,54.2,65,8526,2717,strength,strength
61,F,64.8,68,2590,2450,yoga,yoga
49,F,72.0,67,6554,2850,strength,strength
47,F,65.3,65,7222,2795,cycling,cycling
49,F,74.2,66,7590,2964,cardio,cycling
28,F,68.1,56,9600,3344,hiit,hiit
51,F,58.4,71,4677,2392,yoga,yoga
23,F,60.9,50,8781,2671,cycling,cycling
43,F,48.3,63,5403,2184,yoga,yoga
43,F,64.3,55,14271,3064,cardio,cardio
48,M,69.2,76,8290,2890,yoga,yoga
52,M,71.4,60,10327,3022,strength,strength
35,F,45.0,71,7123,2069,pilates,pilates
50,M,72.1,67,4093,2958,strength,strength
40,F,60.2,64,8904,2762,strength,strength
52,M,56.5,68,11041,3017,strength,strength
39,M,78.5,65,6717,3010,cycling,cycling
33,F,72.6,66,8673,2670,hiit,hiit
42,M,84.3,61,5113,2644,cycling,cycling
30,F,68.3,61,10114,3271,hiit,hiit
38,F,59.2,60,5703,2650,cardio,cycling
61,F,67.6,63,5408,2742,hiit,strength
51,M,63.2,79,2715,2373,yoga,yoga
57,F,59.8,64,8610,2666,strength,strength
39,F,58.5,76,7627,2694,yoga,yoga
57,F,52.5,64,5676,2528,hiit,strength
54,M,68.9,70,5920,2700,strength,strength
40,F,50.1,55,10412,2943,strength,strength
38,F,65.8,69,6045,2471,cycling,cycling
47,M,77.2,68,8215,3053,pilates,pilates
55,M,96.5,63,13660,3500,cycling,cardio
46,F,80.1,61,14298,3029,cardio,cardio
36,F,77.3,63,9602,3148,hiit,hiit
30,F,62.6,62,3793,2740,pilates,yoga
62,M,94.4,74,7717,3037,yoga,yoga
33,F,53.8,55,10189,3151,hiit,hiit
26,F,56.8,53,7073,2913,cycling,cycling
18,F,49.0,50,9403,2623,hiit,hiit
55,M,80.8,75,9885,3361,cardio,cycling
43,F,66.4,67,8822,2609,strength,strength
39,M,55.3,64,6448,2801,cycling,cycling
45,M,57.6,64,6972,2498,strength,strength
49,F,68.1,58,6890,2845,yoga,yoga
40,M,56.9,59,6675,2577,cycling,cycling
50,F,62.0,64,8666,2751,cycling,cycling
32,M,60.7,53,9672,2497,cycling,cycling
39,M,81.6,50,13367,3478,cardio,cardio
50,F,60.6,58,5756,3297,cycling,cycling
36,F,52.6,54,11995,2704,cycling,cycling
41,F,65.6,61,6982,2579,hiit,strength
53,M,74.3,72,4607,2528,yoga,yoga
31,M,76.5,66,8555,3123,hiit,hiit
27,M,80.2,61,10004,3160,hiit,hiit
27,M,66.6,50,4690,2575,strength,hiit
35,F,64.9,68,11239,3500,hiit,hiit
49,F,67.2,71,8538,3044,strength,strength
28,M,56.2,64,10448,2834,cycling,cycling
46,M,93.4,61,9005,2701,hiit,strength
34,F,69.5,50,7460,2765,strength,strength
22,M,50.2,65,8451,2941,cycling,cycling
50,F,49.3,64,5717,2660,yoga,yoga
43,M,74.2,69,4182,2837,pilates,pilates
35,M,77.5,62,8222,3288,strength,strength
37,M,67.0,54,6235,2781,cycling,cycling
33,F,65.9,68,5003,2713,cardio,cycling
38,M,81.4,56,10661,3181,cardio,hiit
32,M,84.1,50,6110,2867,cardio,cycling
39,M,87.9,54,5966,2867,cycling,cycling
35,M,87.0,64,4090,2599,pilates,yoga
57,F,53.7,72,3379,2433,strength,strength
34,F,68.3,58,13331,3147,hiit,cardio
26,M,82.7,61,9659,3193,cycling,cycling
48,F,47.4,67,5012,2247,yoga,yoga
44,F,64.5,71,10053,2837,cycling,cycling
54,F,86.2,67,6861,2866,pilates,pilates
40,M,69.3,64,12453,3259,hiit,cardio
49,M,73.0,68,3557,2444,pilates,yoga
38,F,75.4,63,11768,3026,cycling,cycling
36,F,45.0,66,6342,2552,strength,strength
45,M,84.4,71,5060,3025,strength,strength
31,F,57.4,58,8096,2987,cardio,cycling
35,F,66.1,70,10626,2853,cycling,cycling
43,M,67.5,64,4603,2435,strength,strength
38,F,45.0,64,10523,3013,hiit,hiit
42,M,45.0,68,7698,2727,cycling,cycling
53,M,64.3,64,7873,2368,yoga,pilates
39,M,72.6,67,4349,2714,hiit,strength
62,M,53.3,74,5889,2697,pilates,pilates
38,F,45.7,64,4455,2719,cardio,cycling
39,F,78.5,53,6497,2710,cardio,cycling
21,M,64.8,68,11198,2825,cardio,cardio
60,F,58.9,73,6467,2756,yoga,yoga
47,M,72.4,59,10515,3342,cycling,cycling
57,F,69.4,69,5100,2744,yoga,yoga
40,M,72.3,66,6683,2664,cardio,cycling
44,M,73.6,62,10205,3130,cycling,cycling
45,M,64.5,77,7547,2888,strength,strength
31,F,47.8,50,8974,2930,strength,strength
48,F,64.3,69,14398,2950,cardio,cardio
53,M,72.1,61,6170,2887,cycling,cycling
27,M,55.6,70,8864,3030,hiit,hiit
42,F,72.7,65,5866,2910,cycling,cycling
28,M,59.9,51,8522,2750,cycling,cycling
28,M,59.1,57,14676,3500,cardio,cardio
40,M,78.8,57,4909,2949,strength,strength
21,M,60.5,62,6025,2611,cycling,cycling
32,F,63.5,66,3869,2711,strength,strength
48,M,84.2,62,7048,2782,cycling,cycling
38,M,78.6,54,7525,2858,strength,strength
54,M,60.9,75,4329,2685,yoga,yoga
32,F,46.5,67,7388,2920,cycling,cycling
46,M,91.1,65,8227,3008,yoga,yoga
44,F,71.9,65,10880,3048,cycling,cycling
40,M,88.2,62,6116,2797,cycling,cycling
28,M,56.1,56,5457,2884,cycling,cycling
32,F,49.1,72,8255,2828,pilates,pilates
36,F,67.5,70,8920,3061,strength,strength
35,M,49.6,60,9744,2718,hiit,hiit
35,F,53.8,57,6533,2936,cardio,cycling
38,F,51.9,70,5540,2590,cycling,cycling
42,F,68.0,63,13958,3122,cardio,cardio
47,F,64.6,68,9680,2967,strength,strength
40,M,66.9,61,7195,3020,cycling,cycling
35,F,46.3,72,4296,2362,yoga,yoga
49,M,83.9,67,4284,2062,yoga,yoga
44,F,52.7,69,8157,2642,cycling,cycling
58,F,65.3,74,6482,2427,yoga,yoga
39,F,65.5,59,8049,2911,hiit,hiit
32,F,59.4,60,15000,3167,hiit,cardio
38,M,65.2,67,4447,2924,cycling,cycling
56,M,65.1,63,6235,2481,yoga,yoga
48,M,72.8,77,4813,2899,strength,strength
51,M,87.0,74,10811,3178,cycling,cycling
41,F,75.9,74,8122,3271,strength,strength
47,F,47.6,60,8979,2841,cycling,cycling
41,F,59.1,58,8935,2791,hiit,hiit
