age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
42,M,65.9,66,12615,3342,hiit,hiit
47,F,62.1,63,9017,2851,cardio,hiit
66,F,46.0,62,7479,2797,strength,strength
59,M,81.3,72,9778,2871,pilates,pilates
70,M,70.6,84,5289,2624,pilates,pilates
55,M,51.9,62,8346,2995,cardio,cycling
58,M,75.3,54,10125,2703,hiit,hiit
65,F,90.7,77,5954,2772,hiit,strength
69,M,56.4,73,13812,2706,cycling,cardio
43,M,71.7,55,7647,3126,cycling,cycling
56,M,72.9,56,8636,2921,strength,strength
51,M,52.8,60,2682,2502,hiit,hiit
60,M,70.1,65,5430,2873,cardio,cycling
63,M,91.6,69,7944,3023,strength,strength
70,F,82.2,79,5947,2853,pilates,pilates
68,F,62.2,67,9428,2837,hiit,hiit
62,F,47.8,66,8278,2771,cardio,cardio
70,F,61.1,69,13133,3282,cardio,cardio
60,F,66.1,70,5578,2540,hiit,strength
58,F,60.2,64,13753,2931,hiit,hiit
69,F,86.0,62,8233,3458,hiit,hiit
70,M,86.0,74,15000,3500,cardio,cardio
65,M,99.9,76,7842,3229,cycling,cycling
63,F,61.8,79,6837,2507,strength,strength
60,F,69.0,70,15000,3006,cardio,cardio
70,F,71.0,55,5415,2808,cycling,cycling
53,M,89.3,61,11473,3425,hiit,hiit
45,M,45.0,59,11146,2838,hiit,hiit
70,F,83.4,59,5567,2744,cycling,cycling
55,M,45.0,68,7799,2946,hiit,hiit
69,M,59.4,60,10072,3140,hiit,hiit
61,F,51.7,50,10355,2612,cardio,cardio
68,M,70.5,77,6637,2370,strength,strength
58,F,54.6,58,10921,2929,strength,hiit
63,M,70.1,63,10825,3186,cycling,cardio
69,F,71.6,67,8039,2705,hiit,strength
67,F,58.9,77,11166,3402,hiit,hiit
70,M,91.5,65,6994,3043,strength,strength
66,F,76.5,63,7900,3232,cardio,cycling
59,F,83.1,67,9650,2951,strength,strength
65,M,78.8,54,7274,3399,strength,hiit
70,M,83.4,64,7626,3169,strength,strength
64,F,69.6,68,15000,3220,cardio,cardio
70,F,54.9,73,10009,2739,cycling,cycling
55,F,57.1,60,12756,2993,hiit,hiit
65,M,71.5,66,8288,2990,strength,strength
70,F,53.0,63,5227,2698,hiit,strength
69,F,58.7,65,8970,2698,pilates,pilates
70,F,82.1,83,9037,2749,strength,strength
68,F,71.6,58,7888,3004,cycling,cycling
62,F,85.3,62,11000,3500,hiit,hiit
67,F,71.1,64,9857,3024,strength,strength
65,M,77.3,68,14317,3329,cardio,cardio
70,M,83.8,66,5913,2544,yoga,pilates
63,F,67.8,62,11531,2890,cardio,cardio
65,F,62.3,69,9146,3067,cycling,cycling
65,F,60.3,76,8555,2655,pilates,pilates
66,M,75.6,73,7133,3040,cycling,cycling
70,F,67.0,70,8395,2883,cycling,cycling
68,F,55.2,73,8091,2647,strength,strength
51,F,77.5,66,7843,2896,hiit,hiit
68,M,63.2,78,4296,2464,strength,strength
61,F,62.8,52,7721,3401,hiit,hiit
64,F,69.1,68,11073,3037,cardio,cardio
70,M,65.1,75,10500,2492,pilates,pilates
70,M,68.1,61,7769,3046,cycling,cycling
70,M,84.3,69,9082,3061,strength,strength
70,F,81.0,83,6215,2760,pilates,pilates
70,F,61.5,68,10511,2862,cardio,cardio
70,M,76.0,77,7628,3096,hiit,strength
69,F,62.4,66,9772,2480,hiit,hiit
69,M,92.4,82,8415,2917,cycling,cycling
49,M,53.4,65,7510,2939,hiit,hiit
70,F,68.2,78,5642,2580,strength,strength
49,M,66.3,59,7074,3071,hiit,hiit
67,M,68.7,60,6233,2433,cardio,cycling
69,F,71.8,74,8975,2927,strength,strength
70,F,50.1,75,8926,2487,hiit,strength
47,F,69.6,60,8230,2901,cycling,cycling
57,M,72.3,62,6562,2922,hiit,hiit
70,F,89.0,60,10041,3500,hiit,hiit
70,F,58.4,62,9854,3180,strength,strength
69,F,51.9,74,8106,2411,hiit,strength
70,M,74.9,65,3163,2396,yoga,yoga
51,M,45.0,69,13774,2917,cardio,cardio
65,F,56.3,72,6905,2391,strength,strength
61,M,59.7,72,9558,2854,hiit,hiit
66,M,68.7,68,11623,2776,hiit,hiit
70,F,54.1,71,6768,2399,strength,strength
70,F,82.1,68,7759,2745,pilates,pilates
50,M,73.8,57,9434,3121,hiit,hiit
68,F,68.5,63,7587,3318,cycling,cycling
59,F,59.8,55,9044,3145,hiit,hiit
53,M,68.4,60,7630,2581,strength,strength
70,M,79.0,76,6075,2946,cardio,cardio
70,F,48.0,85,6925,2596,yoga,yoga
59,M,73.3,66,6418,3090,cycling,cycling
45,M,66.5,60,7411,3249,hiit,hiit
70,M,64.1,81,4078,2714,pilates,pilates
70,M,88.9,69,9117,3320,cardio,hiit
53,M,80.7,64,11289,3161,cardio,hiit
70,M,90.0,57,7551,3380,cycling,cycling
63,M,75.1,75,5689,2104,pilates,pilates
70,F,45.4,66,7944,2864,hiit,hiit
60,F,63.7,66,11778,2986,hiit,hiit
60,F,68.2,64,8656,3353,hiit,hiit
61,M,97.8,60,10567,3160,hiit,hiit
67,M,76.7,81,3766,2726,pilates,pilates
70,F,67.0,71,10331,3179,strength,strength
64,F,77.7,60,10342,3389,hiit,hiit
48,M,77.5,57,11079,3429,hiit,hiit
50,F,78.5,62,9776,3232,hiit,hiit
64,F,82.3,58,9862,3177,cardio,hiit
68,F,64.4,66,5112,3169,hiit,hiit
68,F,58.4,72,12121,2917,hiit,hiit
52,M,70.7,52,6841,3254,cardio,hiit
70,M,75.5,74,10395,2882,cardio,cardio
62,F,67.3,65,9320,2668,cycling,cycling
70,M,89.5,68,8024,2706,yoga,pilates
70,F,59.3,60,8147,2387,pilates,pilates
65,M,74.8,60,7702,2810,strength,strength
