age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
70,M,48.8,76,2698,2255,yoga,yoga
56,F,55.4,65,11595,2812,strength,strength
55,F,51.4,59,10540,3110,cardio,cardio
61,F,61.3,61,5590,2968,cycling,cycling
69,F,72.8,73,8052,3001,pilates,pilates
70,M,82.1,61,12478,3004,cycling,cardio
66,M,81.2,65,8465,3039,cardio,cycling
70,F,60.1,87,4426,2552,yoga,yoga
45,F,60.0,65,10299,3010,hiit,hiit
70,M,72.1,71,8393,2936,cycling,cycling
54,M,66.7,62,10962,3064,cardio,cardio
70,F,73.3,73,10381,3285,cardio,cardio
70,M,76.0,84,2000,2338,yoga,yoga
68,M,71.7,67,13257,2814,cardio,cardio
70,F,50.5,67,9680,2714,cardio,cardio
70,M,86.6,75,9086,2986,yoga,yoga
70,F,57.9,66,5964,2316,yoga,yoga
70,M,93.8,77,13134,3500,cardio,cardio
50,F,58.7,59,10869,2700,hiit,hiit
51,F,53.3,62,13130,3081,cardio,cardio
62,M,55.3,72,13438,2898,cardio,cardio
57,F,77.6,54,8033,2943,hiit,hiit
59,M,79.5,71,8831,3071,hiit,cardio
65,F,74.4,80,4782,2584,pilates,pilates
62,F,63.7,58,8935,2916,cycling,cycling
69,F,56.5,68,6507,2582,cycling,cycling
70,M,53.4,63,9009,2870,strength,strength
70,F,51.1,75,10422,2526,cardio,cardio
59,M,81.3,83,11735,3114,cardio,cycling
70,F,70.7,66,4993,2653,hiit,strength
69,M,72.5,87,4841,2638,yoga,pilates
62,M,53.5,72,7684,2607,cycling,cycling
70,F,74.4,68,6961,2704,strength,strength
70,F,74.0,76,10109,2872,pilates,yoga
59,F,60.4,67,9157,2769,cardio,cardio
63,F,81.9,57,9123,3265,cardio,cardio
70,F,60.7,65,10532,2720,cardio,cardio
70,F,71.6,61,4984,2515,yoga,yoga
70,F,71.2,70,12413,2991,hiit,cardio
68,M,62.1,73,3401,2323,pilates,yoga
70,F,96.2,67,4979,3218,yoga,yoga
68,F,45.0,68,2000,2452,yoga,yoga
55,M,77.2,68,12688,3119,cardio,cardio
70,F,65.5,75,6519,2665,yoga,yoga
70,F,45.0,69,2391,2291,yoga,yoga
70,F,90.1,60,8014,2954,yoga,yoga
68,M,83.0,65,8876,2963,yoga,yoga
51,F,67.9,57,6059,2274,cycling,cycling
55,M,81.6,70,12845,3210,cardio,cardio
70,M,81.4,82,7968,2657,pilates,yoga
44,M,70.4,64,14614,3288,cardio,cardio
69,F,60.4,76,12662,3184,cardio,cardio
68,M,61.6,64,11715,3322,cardio,cardio
60,M,79.5,63,13670,3096,cardio,cardio
67,F,89.3,64,13307,3153,cardio,cardio
70,M,84.0,69,14772,3324,cardio,cardio
70,M,68.5,61,11848,3011,cardio,cardio
67,F,50.9,76,5084,2444,pilates,yoga
63,M,86.9,68,13211,3303,cardio,cardio
70,M,76.3,57,6210,2427,yoga,yoga
70,M,88.5,59,8695,3013,strength,strength
70,F,71.8,74,7653,2639,yoga,yoga
70,M,94.3,75,9480,3264,pilates,pilates
70,F,58.3,70,4648,2382,pilates,pilates
67,F,59.4,60,9154,2980,cardio,cardio
55,M,68.9,68,12419,3142,cardio,cardio
60,F,66.8,62,5738,2613,yoga,yoga
70,M,64.2,71,7359,2505,pilates,pilates
61,M,83.9,64,12201,3371,cardio,cardio
70,M,64.7,73,4154,2378,pilates,yoga
70,M,96.2,74,5188,2861,pilates,pilates
70,F,67.1,72,5335,2313,yoga,yoga
59,F,50.2,68,10933,2741,cardio,cardio
70,F,75.9,77,7195,2979,yoga,yoga
65,F,63.8,66,13229,3118,cardio,cardio
66,F,55.4,63,11894,2947,cardio,cardio
63,F,57.7,64,10949,2922,cardio,cardio
70,F,55.4,63,8323,2398,yoga,yoga
60,F,73.5,64,6177,2770,pilates,yoga
70,F,84.7,72,4310,2864,pilates,pilates
70,M,85.4,64,9802,2903,cardio,cardio
70,F,64.1,68,11077,3209,cycling,cardio
58,M,85.4,70,5522,3147,strength,strength
68,M,83.7,78,9900,2761,yoga,pilates
70,M,83.9,67,10082,3013,cardio,cardio
70,M,74.8,66,6440,3086,strength,strength
65,F,63.9,66,9274,3246,cycling,cycling
62,M,85.1,75,8088,3028,hiit,hiit
46,F,76.3,53,7042,2777,cycling,cycling
70,M,87.3,73,7833,2686,pilates,pilates
