age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
18,M,69.2,72,10214,2902,hiit,hiit
37,M,61.0,66,9468,2692,pilates,pilates
34,F,45.0,54,10788,2623,hiit,hiit
27,M,87.0,51,10463,3500,hiit,hiit
29,F,76.6,60,10776,3175,hiit,hiit
39,M,49.5,64,2000,2319,strength,strength
18,M,65.5,54,9748,3047,strength,hiit
38,F,62.5,79,8565,2637,yoga,yoga
30,F,48.2,66,5061,2841,strength,strength
27,F,67.5,50,11783,3147,hiit,hiit
43,F,94.0,67,4637,3273,pilates,pilates
23,M,73.9,61,10617,2879,hiit,hiit
18,F,64.2,64,7558,2710,strength,strength
24,F,45.0,62,10931,3101,hiit,hiit
40,M,53.1,72,3427,2364,yoga,yoga
32,F,52.6,62,5180,2494,strength,strength
41,M,77.6,55,7120,2987,hiit,strength
18,F,62.4,55,7497,2805,hiit,hiit
22,F,55.5,50,7699,2665,hiit,hiit
31,M,66.2,66,9814,2625,strength,strength
39,F,49.8,67,8880,2685,strength,strength
18,M,57.1,50,5454,2871,cardio,hiit
26,F,72.0,52,12323,3015,strength,hiit
28,F,83.9,68,5517,2733,strength,strength
39,M,67.1,69,5053,2611,pilates,pilates
20,M,65.6,67,12599,2902,cardio,cardio
44,M,76.6,65,5006,3138,strength,strength
30,F,71.2,55,11957,3190,cardio,cardio
22,F,53.8,63,9508,2862,hiit,hiit
18,F,64.3,62,9105,3500,strength,hiit
18,F,55.5,53,11575,2944,hiit,hiit
43,F,71.8,54,14246,3182,hiit,hiit
33,F,53.4,55,12083,2883,cardio,hiit
47,M,81.1,66,8041,2995,strength,strength
28,M,88.6,69,3762,2645,yoga,yoga
18,M,62.8,53,13758,3008,cardio,cardio
21,F,49.8,64,13802,2917,cardio,cardio
18,M,63.2,59,7057,2841,hiit,hiit
40,F,59.4,69,5303,2503,strength,strength
38,M,64.2,59,6697,2636,yoga,yoga
35,F,68.9,64,6936,3010,pilates,yoga
21,F,58.1,50,11016,3500,strength,hiit
25,F,45.0,56,9647,2747,hiit,hiit
31,F,46.3,66,10742,2858,strength,hiit
30,F,57.4,65,6610,2974,pilates,pilates
19,M,81.3,61,10820,3048,hiit,hiit
35,F,46.8,69,5834,2615,strength,strength
18,M,65.9,58,7135,2691,hiit,hiit
30,F,53.6,71,8278,2385,pilates,pilates
33,F,57.9,54,10460,3154,cardio,hiit
21,F,64.3,50,6298,2648,strength,strength
33,F,64.6,51,12453,3017,cardio,hiit
18,M,83.4,60,11061,3096,hiit,hiit
22,F,45.0,58,9891,2428,strength,hiit
21,M,88.6,64,7993,3004,hiit,hiit
18,F,64.6,62,12187,3430,strength,hiit
38,M,81.9,62,10740,3391,hiit,hiit
26,M,63.2,64,11504,2858,hiit,hiit
37,M,65.3,63,4376,2738,yoga,yoga
18,M,64.1,50,8060,3096,hiit,hiit
18,M,57.0,53,10414,2786,hiit,hiit
18,M,75.5,65,12768,3343,hiit,hiit
