age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
20,M,72.9,66,2999,2580,pilates,pilates
18,F,50.9,55,15000,3117,cycling,cardio
18,F,60.1,60,2000,2854,strength,strength
18,M,72.9,64,5997,2622,cycling,cycling
18,F,49.4,52,11578,2683,cardio,cardio
18,M,56.9,50,13591,3245,hiit,cardio
18,F,70.0,51,9679,3186,hiit,hiit
18,M,67.2,60,12188,3336,cycling,cardio
18,M,61.6,54,13952,2942,cardio,cardio
23,M,72.6,56,10108,2892,cardio,cardio
18,M,57.0,59,9327,2980,pilates,pilates
23,F,53.0,58,13190,2996,cardio,cardio
22,F,45.0,53,8222,2635,pilates,pilates
18,F,56.9,53,10205,3233,hiit,cardio
18,M,59.8,69,10956,3054,cardio,hiit
18,F,64.4,52,8679,2864,cycling,cycling
18,F,60.4,57,9608,3064,strength,strength
22,M,62.4,60,11045,2883,cycling,cardio
28,M,51.7,66,8099,2309,pilates,pilates
18,M,45.0,63,6237,2619,strength,strength
18,M,68.8,60,14072,3358,cardio,hiit
18,M,75.0,53,13895,3413,cardio,cardio
18,M,47.8,58,10570,2534,cardio,cardio
18,F,59.9,56,6136,2737,strength,strength
20,M,81.7,54,6661,3035,hiit,strength
30,F,68.1,73,3563,2702,yoga,yoga
18,M,73.8,57,3971,2864,strength,strength
18,F,45.0,56,7374,2393,strength,strength
27,F,74.6,73,6331,2798,strength,strength
18,M,82.0,53,8215,2933,pilates,pilates
18,F,59.9,53,6434,2748,pilates,pilates
18,M,77.5,57,11536,3057,cardio,cardio
28,M,59.8,71,7183,2527,pilates,pilates
24,F,69.8,58,9753,2626,strength,strength
30,F,45.0,67,8865,2792,pilates,pilates
18,F,69.6,51,9848,3267,hiit,hiit
18,F,61.0,52,10495,2771,cycling,cardio
20,F,57.1,55,5908,2674,strength,strength
18,F,72.3,65,6513,2847,cycling,cycling
18,M,68.8,59,12990,3325,hiit,hiit
18,F,61.0,57,9889,2981,hiit,cardio
18,F,54.0,51,13959,2752,cardio,cardio
18,F,57.7,72,6272,2785,strength,strength
18,F,45.0,69,9955,2664,cardio,cardio
18,F,45.0,60,6079,2704,hiit,hiit
18,F,45.0,58,9361,2869,hiit,hiit
18,F,63.0,60,10881,3215,cardio,cardio
30,M,73.2,66,9348,2813,yoga,yoga
18,M,70.1,67,5764,2754,strength,strength
18,F,63.7,63,7646,2874,pilates,pilates
18,M,66.7,63,8783,2931,strength,strength
33,M,52.7,65,11398,2961,cardio,cardio
18,M,71.2,74,6259,2703,strength,strength
18,F,56.3,50,11537,2870,cycling,cardio
22,M,62.0,56,10857,2820,cardio,cardio
22,M,70.5,61,6427,2695,yoga,pilates
18,M,63.9,59,13645,3136,cardio,cardio
22,M,52.8,57,4211,2132,yoga,yoga
23,F,49.3,64,9961,2834,cardio,cardio
28,F,45.0,65,6961,2599,pilates,pilates
18,F,74.3,54,7183,2710,strength,strength
20,M,57.4,50,11070,2804,pilates,pilates
18,F,70.3,71,11338,3048,cardio,cardio
18,F,68.0,59,11219,2706,cycling,cardio
18,M,71.4,67,9963,3376,pilates,pilates
18,M,51.2,53,13591,2823,cardio,cardio
19,F,52.3,54,7582,2664,strength,strength
18,F,52.3,66,6284,2675,hiit,strength
26,M,62.4,56,3748,2715,pilates,yoga
20,F,53.3,64,6701,2855,strength,strength
18,M,80.6,55,8407,3470,strength,strength
22,F,61.7,68,5422,2342,yoga,yoga
18,M,89.2,62,4332,3043,yoga,pilates
18,M,69.4,57,10028,2721,hiit,strength
18,F,61.9,60,12222,3020,hiit,cardio
18,M,68.6,58,12257,3058,cardio,cardio
18,F,59.3,55,10674,3033,cardio,cardio
18,F,60.1,60,9285,3023,cycling,cycling
27,F,56.1,67,13055,2839,cardio,cardio
28,M,59.3,62,11913,2720,hiit,cardio
20,F,48.5,68,7861,2738,strength,strength
18,F,75.4,66,11991,3190,cardio,cardio
29,F,51.1,63,5151,2575,yoga,pilates
18,F,57.5,64,12461,3012,cardio,cardio
18,M,45.0,68,6240,2703,strength,strength
18,M,67.7,53,10213,2882,hiit,hiit
