age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
21,M,62.2,67,6495,2784,yoga,yoga
19,F,45.0,53,11590,2642,pilates,pilates
18,M,79.4,64,3715,2942,yoga,yoga
26,M,79.8,63,5124,2408,pilates,pilates
33,F,64.6,63,3999,2735,strength,strength
18,F,53.6,54,6819,2537,cycling,cycling
21,M,87.8,61,6948,3344,strength,strength
18,M,68.2,52,4553,2872,pilates,yoga
18,M,63.1,53,13448,3291,hiit,cardio
28,F,64.2,56,6174,2766,pilates,pilates
18,M,45.0,53,11360,2874,hiit,hiit
32,F,61.1,62,8900,2631,yoga,pilates
20,F,75.2,63,6193,2876,strength,strength
31,M,59.9,72,4045,2518,pilates,pilates
18,F,68.8,53,9690,3316,cardio,hiit
19,F,45.7,59,8348,2641,cycling,cycling
18,M,50.8,65,9995,2889,hiit,hiit
18,F,67.8,55,12962,3148,hiit,hiit
19,M,92.3,66,3429,2877,hiit,strength
18,F,45.0,51,5673,2827,hiit,strength
18,M,49.4,60,7762,2605,pilates,pilates
18,M,95.2,50,11179,3312,cardio,cardio
18,M,62.5,60,9339,3310,cycling,cardio
18,F,74.9,64,3258,2564,strength,strength
18,F,52.7,64,5535,2422,pilates,pilates
26,F,72.1,75,8497,3385,pilates,pilates
18,F,46.2,53,5938,2226,pilates,pilates
34,F,45.0,75,10387,2920,pilates,pilates
18,F,54.7,55,6719,3136,hiit,hiit
28,M,55.5,59,7452,2675,yoga,pilates
23,M,76.3,60,6584,3364,pilates,pilates
24,M,51.4,61,3475,2062,pilates,pilates
18,M,50.8,53,7622,2759,pilates,pilates
18,F,60.8,58,13064,3153,cardio,cardio
22,F,45.0,61,8481,2755,cardio,cardio
31,M,84.9,67,4789,2834,pilates,pilates
22,F,66.4,64,6349,2580,pilates,pilates
18,F,67.7,61,4390,2930,cycling,cycling
18,M,56.3,61,5785,3032,strength,strength
18,M,70.8,64,6763,2886,yoga,pilates
23,M,90.4,56,7300,2927,strength,strength
18,M,45.0,63,9165,2424,pilates,pilates
31,F,45.6,62,6226,2490,yoga,pilates
27,M,65.4,57,8609,2741,pilates,pilates
18,F,56.3,67,7786,2659,hiit,hiit
18,F,57.5,61,6291,2707,cycling,cycling
25,M,52.5,63,6814,2190,pilates,pilates
18,M,67.0,58,15000,2916,cardio,cardio
18,M,64.5,59,7073,2955,yoga,pilates
18,F,67.0,62,6208,2812,pilates,pilates
18,F,67.2,65,3832,2832,strength,strength
18,F,59.5,60,6143,2912,cycling,cycling
18,M,72.2,57,8653,3293,cardio,cardio
19,M,58.0,52,8450,2725,cardio,cardio
18,M,66.0,53,8125,2975,hiit,hiit
24,F,58.4,51,5677,2907,pilates,pilates
25,M,71.9,50,11620,3085,cycling,cycling
18,F,45.0,56,13510,2893,cardio,cardio
18,M,70.9,50,9764,3188,strength,hiit
18,F,45.0,55,6713,2546,cycling,cycling
18,M,69.6,55,10241,3293,hiit,hiit
18,F,45.0,52,9101,2293,strength,strength
18,F,73.5,55,2533,3053,pilates,pilates
23,M,67.4,57,10951,2812,pilates,pilates
23,M,59.3,55,9191,2523,pilates,pilates
35,M,61.4,65,8369,2800,pilates,pilates
24,M,78.5,64,4596,2736,yoga,yoga
18,F,45.0,61,10874,2874,hiit,hiit
22,F,50.0,84,6638,2653,pilates,yoga
25,F,45.0,69,9497,2508,pilates,pilates
23,M,51.8,59,6412,2716,pilates,pilates
23,F,57.1,53,6352,2543,yoga,yoga
18,M,61.2,50,13252,3135,hiit,hiit
18,M,56.9,64,12073,2748,cardio,cardio
20,M,54.0,59,4439,2415,pilates,pilates
18,F,76.1,66,8292,2942,cardio,cardio
18,F,62.3,67,7523,3070,cycling,cycling
18,F,63.3,71,5603,2738,pilates,pilates
32,F,56.5,63,6702,2323,yoga,pilates
18,F,47.1,67,6898,2572,yoga,yoga
18,M,88.0,61,10415,3145,hiit,cardio
28,F,57.5,62,9107,2600,yoga,yoga
20,M,84.3,74,6087,2967,pilates,pilates
26,M,71.8,68,6907,2689,pilates,pilates
33,F,71.9,58,2751,2160,yoga,yoga
31,F,48.0,71,4571,2390,pilates,yoga
30,F,56.5,69,5794,2405,strength,strength
25,M,58.7,59,2328,2346,yoga,pilates
19,F,74.5,53,2000,2702,yoga,yoga
32,M,61.9,69,6596,2584,pilates,pilates
18,F,69.3,60,11002,3118,cardio,cardio
27,F,61.8,60,6155,3281,pilates,pilates
18,F,75.7,55,10163,2974,cardio,cardio
18,F,45.0,50,8071,3037,hiit,hiit
18,M,57.9,64,13091,2987,hiit,cardio
18,M,73.6,69,5598,2680,pilates,pilates
31,F,52.6,69,5883,2834,pilates,pilates
18,M,52.6,50,5452,2900,cycling,cycling
