age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
70,M,68.8,64,14586,3429,hiit,hiit
70,M,101.6,68,8109,2892,yoga,yoga
70,M,90.8,79,2000,2437,yoga,yoga
64,F,68.7,69,7995,2635,strength,strength
68,F,57.7,69,9874,2774,pilates,yoga
60,M,64.1,75,11413,3124,cardio,cardio
70,F,63.0,74,4765,2693,yoga,yoga
69,F,77.5,68,7806,2738,yoga,yoga
70,M,73.1,71,7169,2872,strength,strength
70,F,54.8,87,9834,2564,strength,strength
70,M,78.3,78,5885,3071,pilates,pilates
69,F,55.6,65,15000,3072,hiit,hiit
56,F,90.3,61,10186,2892,hiit,hiit
70,M,80.8,69,4241,2631,pilates,pilates
68,F,67.2,63,4552,3054,yoga,pilates
70,F,75.3,81,9709,2926,yoga,yoga
69,F,57.5,80,3243,2499,strength,strength
70,M,86.9,81,4996,2489,pilates,pilates
55,F,70.6,69,15000,2963,cardio,cardio
65,M,65.6,78,9304,2705,hiit,strength
70,F,53.4,65,7102,2649,pilates,pilates
61,M,68.6,65,8399,2899,hiit,strength
70,F,80.5,75,6172,2641,yoga,yoga
58,M,74.1,66,3196,3004,strength,strength
65,F,85.2,77,10342,3028,strength,strength
70,F,60.7,68,6140,2605,pilates,pilates
70,M,97.9,66,5965,3141,hiit,strength
65,M,77.2,66,4447,2565,strength,strength
56,F,79.7,60,5596,2819,hiit,hiit
57,F,60.1,72,9771,3146,hiit,hiit
64,M,71.2,70,11219,2895,hiit,hiit
69,F,60.3,71,9018,2589,pilates,pilates
62,M,73.5,66,10202,2865,strength,strength
70,F,86.9,69,10656,3227,hiit,hiit
70,F,66.0,71,6748,2598,pilates,yoga
70,M,61.0,68,7644,2771,yoga,pilates
66,F,79.5,74,9883,3000,strength,strength
56,F,60.2,63,8333,2437,cycling,cycling
62,F,74.6,62,7469,2743,strength,strength
70,M,94.2,66,8969,2972,pilates,pilates
56,M,78.4,65,4286,2868,hiit,strength
62,M,83.7,57,10610,3500,cardio,cardio
70,F,55.8,71,9088,2842,pilates,pilates
70,F,87.0,71,7450,3000,strength,strength
69,F,67.6,76,6808,2738,strength,strength
70,M,72.2,70,8674,2986,cycling,cycling
52,M,62.7,55,9912,3141,cardio,hiit
66,F,60.3,77,10745,2878,hiit,hiit
47,F,64.4,57,7234,2649,strength,strength
63,F,49.3,69,7368,2361,strength,strength
70,M,81.3,77,11447,3425,cardio,cardio
70,M,57.9,58,6203,2970,strength,strength
61,F,45.0,70,6585,2669,strength,strength
70,M,68.5,67,10704,2787,hiit,strength
65,F,81.4,64,12001,3500,cycling,cycling
52,M,52.2,61,8529,2684,strength,strength
70,M,87.3,78,3321,2797,pilates,pilates
70,F,63.3,63,6185,3082,strength,strength
70,M,87.1,82,6256,2527,pilates,pilates
70,F,49.4,66,7314,2546,strength,strength
70,M,58.9,65,8478,2998,hiit,hiit
58,M,93.2,66,9158,3248,hiit,hiit
60,F,53.3,71,11355,2956,hiit,hiit
64,F,52.8,71,13640,3293,cardio,cardio
70,M,72.6,79,6996,2812,strength,strength
66,F,82.4,72,7739,3040,strength,strength
70,F,77.8,74,7839,3020,pilates,pilates
70,M,93.3,66,6106,2762,yoga,pilates
54,M,97.8,61,13511,3397,cycling,cardio
54,M,68.1,70,9181,2943,hiit,hiit
70,F,75.0,77,4503,2672,yoga,pilates
70,F,69.5,64,7607,2742,pilates,pilates
70,F,62.7,62,11288,3400,strength,strength
68,F,79.3,72,7603,2763,yoga,yoga
55,M,58.8,61,11292,2955,cardio,cardio
58,M,45.0,72,4459,2406,strength,strength
67,M,59.5,82,5850,2605,strength,strength
70,M,80.8,70,9359,3148,strength,strength
70,F,45.0,68,7498,2758,strength,strength
58,M,79.1,56,8104,2910,hiit,hiit
52,M,54.1,59,9972,2960,hiit,hiit
62,M,90.5,56,8466,3394,hiit,hiit
66,M,84.4,58,9307,2903,strength,strength
