age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
18,M,65.4,55,12586,2864,cardio,cardio
18,F,60.3,58,6432,2847,cycling,cycling
19,M,62.8,60,7267,2602,cycling,cycling
18,F,81.1,50,8928,3090,cardio,cardio
18,M,60.0,50,8951,3173,cardio,cycling
18,M,75.5,53,9194,3500,cardio,cardio
18,F,72.6,50,8563,3121,hiit,hiit
24,F,72.8,62,6756,2992,pilates,pilates
34,F,50.6,76,3560,2131,yoga,yoga
18,M,64.8,52,12883,3500,cardio,hiit
31,F,49.2,69,6174,2633,strength,strength
20,F,56.3,62,7023,2516,strength,strength
24,M,59.8,70,6436,2721,yoga,pilates
18,F,56.2,68,12207,2873,cardio,cardio
21,F,47.6,62,14566,2837,hiit,cardio
19,M,71.0,59,9738,3119,cardio,cardio
18,M,62.3,53,13876,3095,cardio,cardio
18,M,62.0,52,12745,2842,cardio,cardio
18,F,56.7,50,8650,2727,cardio,cardio
29,M,54.4,55,8222,2677,yoga,yoga
32,F,51.6,60,10665,2889,cycling,cardio
18,F,68.0,56,13746,2904,cardio,cardio
18,M,64.4,66,8968,2507,hiit,strength
21,F,49.4,65,14180,2991,cardio,cardio
31,F,69.0,68,14140,3136,cardio,cardio
18,M,59.7,59,12011,2788,cardio,cardio
18,M,54.8,64,12840,2872,cardio,cardio
42,F,54.5,75,3486,2428,pilates,pilates
25,F,62.5,55,13176,3186,cardio,cardio
18,M,45.1,59,12734,3078,cardio,cardio
20,F,45.0,66,10386,2868,cardio,cardio
18,M,73.5,61,4528,2988,hiit,strength
18,M,72.2,57,14166,2917,cardio,cardio
18,F,55.7,61,9334,3067,cycling,cycling
24,F,47.7,60,4621,2362,yoga,yoga
18,F,59.6,50,9410,2862,hiit,hiit
18,F,58.3,60,12417,2869,cycling,cardio
18,M,72.9,63,15000,3500,cardio,cardio
18,M,82.9,55,9795,2974,cycling,cycling
30,F,45.0,64,8254,2534,pilates,pilates
18,M,88.5,50,5449,2701,yoga,yoga
18,M,63.0,60,10838,2896,cardio,cardio
22,M,64.3,57,14666,3137,cardio,cardio
18,M,62.5,64,10694,3068,cardio,cardio
18,F,69.6,50,10247,3427,hiit,hiit
18,F,64.6,55,15000,2932,cardio,cardio
23,F,61.5,72,3173,2332,pilates,yoga
18,M,60.7,63,12122,3227,cardio,cardio
18,F,53.3,70,12975,2683,cardio,cardio
23,M,87.6,56,6559,2906,cycling,cycling
18,F,52.9,50,8934,2981,cardio,cardio
18,M,81.6,58,11302,3232,hiit,cardio
34,F,53.1,51,14775,2977,cardio,cardio
27,M,62.2,67,3318,2409,pilates,pilates
18,M,74.6,55,8974,3105,hiit,hiit
18,F,51.4,64,6586,2929,cycling,cycling
18,M,83.5,52,6792,2800,yoga,yoga
18,M,71.7,61,12996,2828,cardio,cardio
22,F,72.8,57,7691,2786,pilates,pilates
18,M,71.3,67,4279,2250,yoga,pilates
21,M,62.0,63,10590,2579,cardio,cardio
18,M,66.4,60,7888,2898,cardio,cycling
18,F,50.1,55,9964,2902,cardio,cardio
19,F,45.0,65,8442,2776,cycling,cycling
18,F,54.9,60,11948,2962,hiit,cardio
18,F,52.7,52,10891,3246,cycling,cardio
18,F,45.0,54,4529,2807,cycling,cycling
27,F,65.4,64,9783,2985,strength,strength
18,M,73.4,50,7740,2673,cardio,cardio
21,M,45.0,50,13028,3115,cardio,cardio
22,M,71.6,66,14097,3251,cardio,cardio
18,M,61.7,65,13523,2892,cardio,cardio
18,M,77.3,51,12384,3167,cardio,cardio
18,M,67.5,56,10316,3270,cycling,cycling
18,M,61.4,50,8494,2976,hiit,hiit
18,F,65.9,57,12937,3033,cycling,cardio
18,M,82.2,51,12255,3328,cardio,cardio
20,M,58.1,68,6647,2473,pilates,pilates
18,F,67.2,67,7381,3111,strength,strength
19,M,59.6,54,9170,2920,strength,strength
18,F,48.8,64,10870,2656,cardio,cardio
18,M,87.0,59,10716,3136,hiit,cardio
