age,gender,weight,resting_heart_rate,avg_steps_per_day,calories_burned,workout_history,workout_type
61,F,54.6,71,6823,2957,cycling,cycling
70,F,55.7,79,12884,3197,cardio,cardio
55,M,70.4,60,4453,2795,cycling,cycling
56,M,88.1,60,7354,3500,cycling,cycling
70,M,76.8,74,11723,2798,hiit,cardio
50,F,74.9,72,9549,3188,hiit,hiit
67,F,69.7,62,7990,2465,cycling,cycling
61,M,85.9,70,8623,2753,cycling,cycling
52,M,78.5,60,9390,3064,cycling,cycling
57,F,62.1,68,9792,3094,cycling,cycling
67,F,68.6,77,4785,2820,cardio,cycling
70,M,62.8,80,6279,2864,yoga,yoga
68,F,52.2,81,3222,2581,strength,strength
57,M,76.5,65,9021,2562,cycling,cycling
70,F,77.5,70,2890,2876,cardio,cycling
65,F,73.6,64,10558,3232,cardio,cardio
70,F,79.6,64,6751,2955,yoga,yoga
43,F,77.6,75,4585,3048,cycling,cycling
70,M,95.5,68,8256,3246,cycling,cycling
60,M,91.7,69,7530,3084,cycling,cycling
63,F,70.2,62,7345,2710,cycling,cycling
70,M,56.9,77,5985,2380,yoga,yoga
58,M,62.8,61,11064,3141,cardio,cardio
64,M,74.2,57,6847,3002,cycling,cycling
55,M,67.7,67,11273,3261,cycling,cycling
42,F,65.7,61,10094,3369,cycling,cycling
66,F,74.3,66,7650,2911,cycling,cycling
52,F,66.8,67,8225,2737,cycling,cycling
63,M,45.0,69,8979,2819,cycling,cycling
70,F,67.5,72,10434,2917,cardio,cycling
68,M,58.8,55,9277,2943,cycling,cycling
65,F,70.6,65,9732,2931,cardio,cardio
70,M,81.1,64,9715,3500,cycling,cycling
66,M,72.8,59,12245,2794,strength,hiit
70,F,47.3,72,8183,2777,yoga,yoga
70,F,54.5,75,4975,2186,yoga,yoga
64,M,95.1,66,11793,3500,cycling,cycling
70,M,81.7,72,6152,2727,yoga,yoga
62,F,62.6,66,8339,3070,cycling,cycling
64,F,62.7,77,5814,3011,strength,strength
64,F,56.4,77,9957,3162,cycling,cycling
67,M,85.8,65,6476,2808,cycling,cycling
70,F,97.5,71,3885,2655,pilates,yoga
69,F,81.7,62,8453,3500,strength,strength
68,M,71.3,66,11227,2971,cardio,cardio
65,F,53.9,72,11046,3127,hiit,cardio
61,M,84.7,76,6919,3140,cycling,cycling
70,F,73.3,78,6660,2204,yoga,yoga
70,M,66.4,79,9883,2964,cycling,cycling
66,F,85.6,64,8762,3329,cycling,cycling
64,M,84.2,83,5227,3194,strength,strength
70,F,50.9,73,9283,2958,cardio,cardio
60,F,66.4,73,6045,2756,cardio,hiit
65,F,69.4,73,9928,3009,cycling,cycling
70,F,80.8,73,5497,2511,yoga,yoga
65,F,66.9,64,10577,2950,cycling,cycling
55,F,51.1,55,6069,2626,cycling,cycling
53,M,68.6,66,15000,2733,cardio,cardio
69,M,64.4,68,7437,3041,cardio,cycling
57,F,67.8,62,11915,3066,cardio,hiit
60,F,56.0,58,11180,2604,cycling,cycling
70,F,65.0,68,3192,2882,strength,strength
64,M,77.6,61,7216,3133,cycling,cycling
63,M,81.4,56,6111,2926,cycling,cycling
70,M,58.0,71,6759,2596,yoga,yoga
70,F,67.9,73,6218,2831,cycling,cycling
69,F,62.1,63,6386,2874,cycling,cycling
61,F,45.0,71,9305,2695,hiit,hiit
53,M,80.2,58,5914,3035,cycling,cycling
68,F,84.5,69,10395,3204,cycling,cycling
70,F,74.7,72,3756,2667,yoga,yoga
69,M,80.5,64,9886,3126,cycling,cycling
53,F,76.8,65,8408,2797,strength,strength
70,M,86.2,78,9136,2732,cardio,cardio
58,F,62.9,73,12140,3034,cycling,cycling
65,M,67.4,66,6891,2788,cycling,cycling
66,M,69.5,69,9610,2892,cardio,hiit
61,F,45.0,58,11797,2818,strength,hiit
52,M,66.8,71,9694,3035,cardio,cardio
70,F,94.7,76,3993,2744,yoga,yoga
70,F,89.6,76,2300,2869,hiit,strength
70,F,73.3,81,10276,2667,pilates,pilates
60,F,52.9,61,12700,2999,cardio,cardio
70,M,68.2,69,7273,2708,pilates,pilates
64,M,68.9,56,8837,3273,cycling,cycling
54,M,63.7,61,5346,2673,cycling,cycling
70,M,78.1,66,3980,2919,pilates,pilates
70,F,61.1,66,9428,2902,pilates,pilates
70,M,66.1,67,8788,2677,strength,strength
62,M,75.5,67,6836,3258,cycling,cycling
55,F,58.5,71,3387,2517,strength,strength
69,F,51.1,77,9176,2617,cycling,cycling
69,F,78.7,71,2906,2810,yoga,yoga
52,M,65.8,70,9036,2456,yoga,yoga
57,M,71.4,74,6144,2976,yoga,yoga
62,F,90.0,62,8122,2974,cycling,cycling
70,F,74.3,70,4587,2867,strength,strength
